artist,black,woman
William DeVaughn,TRUE,
The Drifters,TRUE,
Merle Haggard,,
The Killers,,
D’Angelo,TRUE,
Fountains of Wayne,,
The Slits,,TRUE
Fiona Apple,,TRUE
Childish Gambino,TRUE,
"Cardi B, J Balvin, and Bad Bunny",TRUE,TRUE
Diana Ross,TRUE,TRUE
New York Dolls,,
DMX,TRUE,
Pretenders,,
Eric Church,,
Coldplay,,
Jeff Buckley,,
Afrika Bambaataa and the Soulsonic Force,TRUE,
Elvis Costello,,
Duran Duran,,
Sylvester,TRUE,
Rufus and Chaka Khan,,
Kiss,,
Selena,,TRUE
Run-DMC,TRUE,
Lynyrd Skynyrd,,
Cat Stevens/Yusuf,TRUE,
Foo Fighters,,
Allman Brothers Band,,
Wilco,,
Neneh Cherry,TRUE,TRUE
Them,,
Depeche Mode,,
Pearl Jam,,
Mark Ronson feat. Bruno Mars,,
Booker T. and the MGs,,
Mariah Carey,,
The Mamas and the Papas,,
"Craig Mack feat. Notorious B.I.G., LL Cool J, Busta Rhymes, Rampage",,
Blackstreet feat. Dr. Dre and Queen Pen,,
Muddy Waters,,
Nicki Minaj,,
Sugar Hill Gang,,
Harry Styles,,
Queen and David Bowie,,
Pete Rock and CL Smooth,,
Eddie Cochran,,
Pet Shop Boys,,
Rush,,
Carly Rae Jepsen,,
Lucinda Williams,,
Megan Thee Stallion feat. Beyoncé,,
Celia Cruz,,
Alicia Keys,,
Miranda Lambert,,
Motörhead,,
Fall Out Boy,,
50 Cent,,
T. Rex,,
Erykah Badu,,
Blue Öyster Cult,,
Migos feat. Lil Uzi Vert,,
Toto,,
Missy Elliot,,
Sister Nancy,,
Jefferson Airplane,,
Lana Del Rey,,
Bon Jovi,,
Beck,,
Sade,,
Steel Pulse,,
Roy Orbison,,
Van Morrison,,
John Lee Hooker,,
Daft Punk feat. Pharrell Williams,,
Luther Vandross,,
Mazzy Star,,
Dixie Chicks,,
Gladys Knight and the Pips,,
The Animals,,
Peter Gabriel,,
Tammy Wynette,,
Janet Jackson,,
Kris Kristofferson,,
The Go-Gos,,
Juvenile feat. Lil Wayne and Mannie Fresh,,
Santana,,
Biz Markie,,
Robert Johnson,,
Lady Gaga,,
Weezer,,
Azealia Banks,,
Lil Wayne,,
Solange,,
The Weeknd,,
The Breeders,,
Lil Nas X,,
Miles Davis,,
The Pixies,,
Cyndi Lauper,,
Carly Simon,,
Harry Nilsson,,
Lizzo,,
Townes Van Zandt,,
Kanye West,,
